,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average
0,2024-02-07 16:00:00,2379.07,2399.11,2373.42,2398.39,145.91810000,2024-02-07 16:59:59.999,347873.40113600,1500,117.67620000,280604.66064600,0,2387.4975,1.0
1,2024-02-07 17:00:00,2398.42,2423.81,2393.44,2410.02,155.86580000,2024-02-07 17:59:59.999,376014.06451600,1775,129.26000000,311750.27812300,0,2406.4225,1.0079267098709004
2,2024-02-07 18:00:00,2410.26,2417.38,2406.27,2411.78,132.31640000,2024-02-07 18:59:59.999,319142.79572300,1534,112.30340000,270882.75783300,0,2411.4225,1.0100209529015214
3,2024-02-07 19:00:00,2410.62,2425.03,2410.62,2423.83,140.76180000,2024-02-07 19:59:59.999,340464.52586500,1584,120.31040000,290992.98168400,0,2417.5249999999996,1.012576976520394
4,2024-02-07 20:00:00,2424.0,2511.26,2431.1549999999997,2438.31,165.93750000,2024-02-07 20:59:59.999,403242.25657400,1873,134.42470000,326669.73719500,0,2451.18125,1.0266738499202617
5,2024-02-07 21:00:00,2438.31,2524.0,2360.0,2432.22,139.70920000,2024-02-07 21:59:59.999,339846.62363600,1539,113.22280000,275408.65171700,0,2438.6324999999997,1.0214178234741607
6,2024-02-07 22:00:00,2431.9,2431.9,2422.24,2425.12,67.30340000,2024-02-07 22:59:59.999,163423.25978200,735,55.25740000,134161.69226000,0,2427.79,1.016876457462259
7,2024-02-07 23:00:00,2425.14,2429.39,2422.78,2424.59,57.54460000,2024-02-07 23:59:59.999,139595.30148800,686,47.65630000,115602.11981600,0,2425.475,1.0159068229390815
8,2024-02-08 00:00:00,2425.02,2434.67,2423.7,2433.25,100.96790000,2024-02-08 00:59:59.999,245121.37443900,1122,70.84080000,171975.50140400,0,2429.16,1.0174502800526493
9,2024-02-08 01:00:00,2433.01,2516.42,2423.2,2443.1,206.95720000,2024-02-08 01:59:59.999,504160.35073600,2067,152.96370000,372565.84904800,0,2453.9325,1.0278262071478608
10,2024-02-08 02:00:00,2442.57,2456.7,2423.2,2433.69,140.29030000,2024-02-08 02:59:59.999,341618.44043100,1469,110.40700000,268834.75739000,0,2439.04,1.0215885042811563
11,2024-02-08 03:00:00,2433.52,2436.79,2432.71,2432.75,99.56410000,2024-02-08 03:59:59.999,242457.36175400,1054,60.68350000,147760.11139500,0,2433.9425,1.0194534235114383
12,2024-02-08 04:00:00,2432.61,2435.0,2416.5,2428.4,55.21040000,2024-02-08 04:59:59.999,134190.55545300,632,43.97560000,106893.27051400,0,2428.1275,1.0170178188668262
13,2024-02-08 05:00:00,2428.5,2428.68,2423.57,2425.1,47.80690000,2024-02-08 05:59:59.999,115992.02581200,534,39.72140000,96375.29525100,0,2426.4625,1.0163204359376292
14,2024-02-08 06:00:00,2425.08,2522.59,2420.5,2421.1,40.43260000,2024-02-08 06:59:59.999,97958.16440400,499,35.84390000,86840.21965800,0,2447.3175,1.0250555236183494
