,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average,ma5,ma15
0,2024/2/7 16:00,2379.07,2399.11,2373.42,1,145.9181,00:00.0,347873.4011,1500,117.6762,280604.6606,0,2387.4975,1,,
1,2024/2/7 17:00,2398.42,2423.81,2393.44,1.00792671,155.8658,00:00.0,376014.0645,1775,129.26,311750.2781,0,2406.4225,1.00792671,,
2,2024/2/7 18:00,2410.26,2417.38,2406.27,1.010020953,132.3164,00:00.0,319142.7957,1534,112.3034,270882.7578,0,2411.4225,1.010020953,,
3,2024/2/7 19:00,2410.62,2425.03,2410.62,1.012576977,140.7618,00:00.0,340464.5259,1584,120.3104,290992.9817,0,2417.525,1.012576977,,
4,2024/2/7 20:00,2424,2511.26,2431.155,1.02667385,165.9375,00:00.0,403242.2566,1873,134.4247,326669.7372,0,2451.18125,1.02667385,,
5,2024/2/7 21:00,2438.31,2524,2360,1.021417823,139.7092,00:00.0,339846.6236,1539,113.2228,275408.6517,0,2438.6325,1.021417823,1.011439698,
6,2024/2/7 22:00,2431.9,2431.9,2422.24,1.016876457,67.3034,00:00.0,163423.2598,735,55.2574,134161.6923,0,2427.79,1.016876457,1.015723263,
7,2024/2/7 23:00,2425.14,2429.39,2422.78,1.015906823,57.5446,00:00.0,139595.3015,686,47.6563,115602.1198,0,2425.475,1.015906823,1.017513212,
8,2024/2/8 0:00,2425.02,2434.67,2423.7,1.01745028,100.9679,00:00.0,245121.3744,1122,70.8408,171975.5014,0,2429.16,1.01745028,1.018690386,
9,2024/2/8 1:00,2433.01,2516.42,2423.2,1.027826207,206.9572,00:00.0,504160.3507,2067,152.9637,372565.849,0,2453.9325,1.027826207,1.019665047,
10,2024/2/8 2:00,2442.57,2456.7,2423.2,1.021588504,140.2903,00:00.0,341618.4404,1469,110.407,268834.7574,0,2439.04,1.021588504,1.019895518,
11,2024/2/8 3:00,2433.52,2436.79,2432.71,1.019453424,99.5641,00:00.0,242457.3618,1054,60.6835,147760.1114,0,2433.9425,1.019453424,1.019929654,
12,2024/2/8 4:00,2432.61,2435,2416.5,1.017017819,55.2104,00:00.0,134190.5555,632,43.9756,106893.2705,0,2428.1275,1.017017819,1.020445048,
13,2024/2/8 5:00,2428.5,2428.68,2423.57,1.016320436,47.8069,00:00.0,115992.0258,534,39.7214,96375.29525,0,2426.4625,1.016320436,1.020667247,
14,2024/2/8 6:00,2425.08,2522.59,2420.5,1.025055524,40.4326,00:00.0,97958.1644,499,35.8439,86840.21966,0,2447.3175,1.025055524,1.020441278,
15,2024/2/8 7:00,2420.8,2423.85,2411.98,1.0133686,78.9874,00:00.0,191117.6304,945,68.2524,165137.2746,0,2419.415,1.0133686,1.019887141,1.017074119
16,2024/2/8 8:00,2421.12,2427.83,2421.12,1.015225147,65.7106,00:00.0,159257.9054,790,51.8449,125644.2244,0,2423.8475,1.015225147,1.01824316,1.017965359
17,2024/2/8 9:00,2424.35,2426.63,2420.63,1.015279597,57.5827,00:00.0,139553.0129,661,48.5384,117635.1155,0,2423.9775,1.015279597,1.017397505,1.018451922
18,2024/2/8 10:00,2424.25,2428.85,2421.31,1.015795828,61.9859,00:00.0,150317.5695,798,52.3528,126955.4626,0,2425.21,1.015795828,1.017049861,1.018802498
19,2024/2/8 11:00,2425.06,2425.98,2416.07,1.014474361,68.0787,00:00.0,164882.175,767,62.914,152376.5388,0,2422.055,1.014474361,1.016944939,1.019017088
20,2024/2/8 12:00,2420.14,2428.58,2417.22,1.014279596,93.2984,00:00.0,225910.2878,1078,77.0829,186609.6806,0,2421.59,1.014279596,1.014828707,1.018203789
21,2024/2/8 13:00,2420.55,2424.36,2422.36,1.014811534,106.0054,00:00.0,256378.7577,1128,71.7247,173638.9416,0,2422.86,1.014811534,1.015010906,1.017727907
